X,Y,G
-0.876847427782256,1.99631882419913,-1
-0.748759324869685,1.99724851416656,-1
-0.63557469450121,1.97804657885838,-1
-0.513769071062192,1.97322477728966,-1
-0.382577547284093,1.95507722390739,-1
-0.275144211134104,1.9238137888256,-1
-0.156802752494605,1.94921969451005,-1
-0.046002058548183,1.89534254245404,-1
0.084152257362932,1.87310408178925,-1
0.192063131363708,1.86815753225309,-1
0.238547032360424,1.81166416536336,-1
0.381412694469276,1.83086992461685,-1
0.431182118837231,1.75531247939342,-1
0.562589082378018,1.72544480585522,-1
0.553294268828727,1.68904788552912,-1
0.730976261421586,1.61052206353837,-1
0.722164981441283,1.63311295208607,-1
0.861069302278025,1.56245019650894,-1
0.82510794508344,1.43584622512398,-1
0.82526113243736,1.45639119641546,-1
0.94872162601077,1.39336755213731,-1
1.0017052775839,1.27576844658262,-1
0.966788666823623,1.32137523307275,-1
1.03082894399269,1.2284370225454,-1
1.08319563558295,1.1430115893454,-1
0.920876421758384,1.0378543880619,-1
0.994518276547599,1.06497102256707,-1
0.954169422387943,0.938084211116584,-1
0.90358608314434,0.985255340596275,-1
0.877869854324478,0.72914352468562,-1
0.866594018329422,0.750257339720458,-1
0.75727838893834,0.638917822242892,-1
0.65548951503697,0.670717406446326,-1
0.687639625917881,0.511655563034953,-1
0.656365077946712,0.63854234588037,-1
0.491775914043228,0.401874801595369,-1
0.355044890344968,0.389639670058464,-1
0.275616567913215,0.182958126126517,-1
0.338471037093842,0.102347681685709,-1
0.10391809494267,0.15296096122637,-1
0.238473941423481,-0.070899965008196,-1
-0.006577539510833,0.16810793103585,-1
-0.09130705769294,-0.032174399094991,-1
-0.29077203355174,-0.345025688767063,-1
-0.287555253061997,-0.397984322825927,-1
-0.363424617632838,-0.365636807709192,-1
-0.54407169101181,-0.512970643761903,-1
-0.709896799715478,-0.546549210418757,-1
-1.00785721628696,-0.811837224369838,-1
-0.93278712214462,-0.687973275892451,-1
-0.123987649007882,-1.54797648263711,1
-0.247236701465217,-1.54662946135943,1
-0.369357682047641,-1.53396875518735,1
-0.497892177999878,-1.52559795179504,1
-0.606998699277538,-1.51838622885357,1
-0.751556975707837,-1.46427031963956,1
-0.85884861881095,-1.46414228917007,1
-0.957834238130025,-1.45416588803371,1
-1.06160269832509,-1.4447832157624,1
-1.16963434292188,-1.42603350749434,1
-1.27211589537403,-1.4086788168053,1
-1.38038329274706,-1.34565144246206,1
-1.48086657388699,-1.27995520246713,1
-1.54892766410633,-1.22326254133315,1
-1.59788681937383,-1.22711593580737,1
-1.68671149660754,-1.14189827582877,1
-1.81268905111533,-1.14805053009159,1
-1.80984133637657,-1.08334760169182,1
-1.93885071072642,-1.01972374176963,1
-1.97455267932884,-0.970515421605032,1
-1.95318435886883,-0.883631209948009,1
-1.98749965029243,-0.861879771987957,1
-2.0421555395652,-0.797813815081594,1
-1.98418573420594,-0.82698683467539,1
-2.06330760479235,-0.749495212625776,1
-1.9642741340614,-0.653639779185205,1
-2.02025815525305,-0.53043161525989,1
-1.94608199606774,-0.514425683121564,1
-1.93435600631304,-0.435380422937908,1
-1.82701765752586,-0.425058004329038,1
-1.78838588881305,-0.312443513353481,1
-1.80087403345128,-0.237312968599446,1
-1.78422512579098,0.013987951279965,1
-1.68282832057107,-0.063911465224582,1
-1.75404247110007,-0.075520653436996,1
-1.56807330023599,0.110795035930537,1
-1.43833326811738,0.170230560810247,1
-1.35661466140466,0.163613840797986,1
-1.33636239703231,0.334537756021892,1
-1.29667760727799,0.316006907420459,1
-1.10990885746601,0.474036646305678,1
-0.845929173746086,0.485303883803993,1
-0.855794710826973,0.395603117655894,1
-0.684792549809302,0.671166244919161,1
-0.514222251521849,0.652065554246795,1
-0.387612556799943,0.700858902286844,1
-0.51939719025496,1.02573533504353,1
-0.228760024694072,0.934903140383779,1
-0.293782477244119,1.00886167797763,1
0.013431012242739,1.08202152527043,1
